genome_limit,num_reads,read_length,mutation_rate,max_mismatch,BWT_accuracy,BWT_time_sec
100000,20000,50,0.03,1,0.81583,120.47885704040527
100000,20000,50,0.03,2,0.96501,130.59879159927368
100000,20000,50,0.03,3,0.992,320.44218826293945
100000,20000,50,0.03,4,0.99689,930.3059298992157
