genome_limit,num_reads,read_length,mutation_rate,max_mismatch,brute_accuracy,brute_time_sec,BWT_accuracy,BWT_time_sec
10000,2000,50,0.03,3,0.9935,92.83860445022583,0.9851,10.4434072971344
30000,6000,50,0.03,3,0.9917,845.8732924461365,0.9883,55.92839193344116
50000,10000,50,0.03,3,0.99104,2317.3762171268463,0.98886,128.642648935318
70000,14000,50,0.03,3,0.9938857142857143,4495.572611570358,0.9923714285714286,209.92529392242432
90000,18000,50,0.03,3,0.9946444444444444,7486.946037054062,0.9926666666666667,319.2231812477112
120000,24000,50,0.03,3,0.9943,13266.617855072021,0.9921083333333334,466.73389434814453

