genome_limit,num_reads,read_length,mutation_rate,max_mismatch,BWT_accuracy,BWT_time_sec
100000,20000,50,0.03,3,0.992,328.8717155456543
100000,40000,50,0.03,3,0.99531,595.1500272750854
100000,60000,50,0.03,3,0.99504,836.2652695178986
