genome_limit,num_reads,read_length,mutation_rate,max_mismatch,BWT_accuracy,BWT_time_sec
100000,20000,50,0.03,3,0.992,450.61933970451355
100000,20000,75,0.03,3,0.97375,454.01575684547424
100000,20000,100,0.03,3,0.9213,444.2227830886841
100000,20000,125,0.03,3,0.81465,531.5436685085297
100000,20000,150,0.03,3,0.69435,590.765912771225
